instanceLabel,item,itemLabel,entity_id,related_works_count
human,http://www.wikidata.org/entity/Q149373,Rachel Oestreicher Bernheim,Q149373,0
human,http://www.wikidata.org/entity/Q346720,David Matas,Q346720,0
human,http://www.wikidata.org/entity/Q452300,Souhayr Belhassen,Q452300,0
human,http://www.wikidata.org/entity/Q4066117,Nikolay Andrushchenko,Q4066117,0
human,http://www.wikidata.org/entity/Q6395870,Kevin Boyle,Q6395870,0
human,http://www.wikidata.org/entity/Q4764648,Khun Htun Oo,Q4764648,0
human,http://www.wikidata.org/entity/Q5222351,Darcus Howe,Q5222351,0
human,http://www.wikidata.org/entity/Q5236142,David Kretzmer,Q5236142,0
human,http://www.wikidata.org/entity/Q13560247,Janet M. Suzuki,Q13560247,0
human,http://www.wikidata.org/entity/Q26262455,Faith Holsaert,Q26262455,0
human,http://www.wikidata.org/entity/Q6983426,Nazia Khanum,Q6983426,0
human,http://www.wikidata.org/entity/Q5761439,Hilda Morales Trujillo,Q5761439,0
human,http://www.wikidata.org/entity/Q7312895,Rene Gomez Manzano,Q7312895,0
human,http://www.wikidata.org/entity/Q47542294,John C. Pollock,Q47542294,0
human,http://www.wikidata.org/entity/Q23808779,Donna Lewis Friess,Q23808779,0
human,http://www.wikidata.org/entity/Q1253,Ban Ki-moon,Q1253,0
human,http://www.wikidata.org/entity/Q251012,Álvaro Gil-Robles,Q251012,0
human,http://www.wikidata.org/entity/Q3805618,Jack Mapanje,Q3805618,2
human,http://www.wikidata.org/entity/Q3639185,Iqbal Athas,Q3639185,0
human,http://www.wikidata.org/entity/Q933059,John Ruggie,Q933059,0
human,http://www.wikidata.org/entity/Q4792445,Arlyn Phoenix,Q4792445,0
human,http://www.wikidata.org/entity/Q5045164,Caroline Moorehead,Q5045164,3
human,http://www.wikidata.org/entity/Q6809813,Mehrangiz Kar,Q6809813,0
human,http://www.wikidata.org/entity/Q8046468,Yacob Haile-Mariam,Q8046468,0
human,http://www.wikidata.org/entity/Q16106547,Helen Bayes,Q16106547,0
human,http://www.wikidata.org/entity/Q16132466,Haya Shalom,Q16132466,0
human,http://www.wikidata.org/entity/Q7042927,Sylva Zalmanson,Q7042927,0
human,http://www.wikidata.org/entity/Q7155314,Paulo Sérgio Pinheiro,Q7155314,0
human,http://www.wikidata.org/entity/Q6177109,Jemera Rone,Q6177109,0
human,http://www.wikidata.org/entity/Q7312321,Ren Wanding,Q7312321,0
